0.00398 0.000000.999977 0.00000
0.02388 0.000130.999162 0.00013
0.04378 0.000400.997188 0.00040
0.06368 0.000690.994063 0.00069
0.08358 0.000960.989801 0.00095
0.10348 0.001170.984423 0.00115
0.12338 0.001320.977952 0.00129
0.14328 0.001410.970419 0.00137
0.16318 0.001450.961857 0.00139
0.18308 0.001460.952303 0.00139
0.20298 0.001450.941800 0.00137
0.22288 0.001420.930393 0.00132
0.24278 0.001390.918129 0.00128
0.26268 0.001340.905060 0.00121
0.28258 0.001290.891238 0.00115
0.30248 0.001240.876719 0.00109
0.32238 0.001190.861558 0.00103
0.34228 0.001140.845813 0.00096
0.36218 0.001090.829541 0.00090
0.38208 0.001040.812800 0.00085
0.40198 0.001000.795647 0.00080
0.42188 0.000960.778140 0.00075
0.44178 0.000920.760334 0.00070
0.46168 0.000880.742285 0.00065
0.48158 0.000850.724044 0.00062
0.50148 0.000820.705664 0.00058
0.52138 0.000790.687195 0.00054
0.54128 0.000760.668684 0.00051
0.56118 0.000730.650175 0.00047
0.58108 0.000710.631711 0.00045
0.60098 0.000690.613333 0.00042
0.62088 0.000670.595078 0.00040
0.64078 0.000650.576980 0.00038
0.66068 0.000630.559073 0.00035
0.68058 0.000620.541385 0.00034
0.70048 0.000610.523943 0.00032
0.72038 0.000590.506771 0.00030
0.74028 0.000580.489892 0.00028
0.76018 0.000570.473325 0.00027
0.78008 0.000560.457086 0.00026
0.79998 0.000550.441190 0.00024
0.81988 0.000550.425650 0.00023
0.83978 0.000540.410476 0.00022
0.85968 0.000540.395676 0.00021
0.87958 0.000530.381258 0.00020
0.89948 0.000530.367225 0.00019
0.91938 0.000530.353581 0.00019
0.93928 0.000520.340328 0.00018
0.95918 0.000520.327466 0.00017
0.97908 0.000520.314994 0.00016
0.99898 0.000520.302911 0.00016
1.01888 0.000530.291213 0.00015
1.03878 0.000530.279897 0.00015
1.05868 0.000530.268957 0.00014
1.07858 0.000540.258388 0.00014
1.09848 0.000540.248184 0.00013
1.11838 0.000550.238339 0.00013
1.13828 0.000560.228844 0.00013
1.15818 0.000570.219692 0.00013
1.17808 0.000580.210876 0.00012
1.19798 0.000590.202387 0.00012
1.21788 0.000600.194217 0.00012
1.23778 0.000620.186356 0.00012
1.25768 0.000630.178797 0.00011
1.27758 0.000650.171530 0.00011
1.29748 0.000670.164546 0.00011
1.31738 0.000690.157837 0.00011
1.33728 0.000720.151394 0.00011
1.35718 0.000740.145209 0.00011
1.37708 0.000770.139271 0.00011
1.39698 0.000810.133573 0.00011
1.41688 0.000850.128107 0.00011
1.43678 0.000890.122864 0.00011
1.45668 0.000940.117835 0.00011
1.47658 0.000990.113014 0.00011
1.49648 0.001050.108392 0.00011
1.51638 0.001120.103962 0.00012
1.53628 0.001200.099716 0.00012
1.55618 0.001280.095647 0.00012
1.57608 0.001390.091749 0.00013
1.59598 0.001500.088014 0.00013
1.61588 0.001640.084435 0.00014
1.63578 0.001800.081008 0.00015
1.65568 0.001990.077724 0.00015
1.67558 0.002210.074580 0.00016
1.69548 0.002480.071568 0.00018
1.71538 0.002800.068683 0.00019
1.73528 0.003190.065920 0.00021
1.75518 0.003670.063274 0.00023
1.77508 0.004270.060740 0.00026
1.79498 0.005020.058313 0.00029
1.81488 0.005970.055989 0.00033
1.83478 0.007150.053763 0.00038
1.85468 0.008600.051631 0.00044
1.87458 0.010330.049590 0.00051
1.89448 0.012200.047634 0.00058
1.91438 0.013920.045761 0.00064
1.93428 0.014980.043966 0.00066
1.95418 0.014950.042247 0.00063
1.97408 0.013790.040601 0.00056
1.99398 0.011920.039023 0.00047
2.01388 0.009880.037511 0.00037
2.03378 0.008020.036063 0.00029
2.05368 0.006470.034675 0.00022
2.07358 0.005230.033345 0.00017
2.09348 0.004260.032070 0.00014
2.11338 0.003510.030848 0.00011
2.13328 0.002920.029677 0.00009
2.15318 0.002450.028554 0.00007
2.17308 0.002080.027477 0.00006
2.19298 0.001780.026445 0.00005
2.21288 0.001540.025455 0.00004
2.23278 0.001340.024506 0.00003
2.25268 0.001170.023595 0.00003
2.27258 0.001030.022721 0.00002
2.29248 0.000920.021883 0.00002
2.31238 0.000820.021079 0.00002
2.33228 0.000730.020307 0.00001
2.35218 0.000660.019566 0.00001
2.37208 0.000600.018855 0.00001
2.39198 0.000540.018173 0.00001
2.41188 0.000500.017518 0.00001
2.43178 0.000450.016889 0.00001
2.45168 0.000420.016284 0.00001
2.47158 0.000380.015704 0.00001
2.49148 0.000350.015147 0.00001
2.51138 0.000330.014611 0.00000
2.53128 0.000300.014097 0.00000
2.55118 0.000280.013602 0.00000
2.57108 0.000260.013127 0.00000
2.59098 0.000250.012670 0.00000
2.61088 0.000230.012231 0.00000
2.63078 0.000220.011809 0.00000
2.65068 0.000200.011403 0.00000
2.67058 0.000190.011013 0.00000
2.69048 0.000180.010637 0.00000
2.71038 0.000170.010276 0.00000
2.73028 0.000160.009929 0.00000
2.75018 0.000150.009594 0.00000
2.77008 0.000140.009272 0.00000
2.78998 0.000140.008963 0.00000
2.80988 0.000130.008665 0.00000
2.82978 0.000120.008377 0.00000
2.84968 0.000120.008101 0.00000
2.86958 0.000110.007835 0.00000
2.88948 0.000110.007578 0.00000
2.90938 0.000100.007331 0.00000
2.92928 0.000100.007093 0.00000
2.94918 0.000090.006864 0.00000
2.96908 0.000090.006643 0.00000
2.98898 0.000090.006430 0.00000
3.00888 0.000080.006225 0.00000
3.02878 0.000080.006027 0.00000
3.04868 0.000080.005836 0.00000
3.06858 0.000070.005652 0.00000
3.08848 0.000070.005474 0.00000
3.10838 0.000070.005303 0.00000
3.12828 0.000070.005138 0.00000
3.14818 0.000060.004979 0.00000
3.16808 0.000060.004825 0.00000
3.18798 0.000060.004676 0.00000
3.20788 0.000060.004533 0.00000
3.22778 0.000060.004395 0.00000
3.24768 0.000050.004261 0.00000
3.26758 0.000050.004132 0.00000
3.28748 0.000050.004007 0.00000
3.30738 0.000050.003887 0.00000
3.32728 0.000050.003771 0.00000
3.34718 0.000050.003659 0.00000
3.36708 0.000050.003550 0.00000
3.38698 0.000040.003445 0.00000
3.40688 0.000040.003344 0.00000
3.42678 0.000040.003246 0.00000
3.44668 0.000040.003151 0.00000
3.46658 0.000040.003059 0.00000
3.48648 0.000040.002971 0.00000
3.50638 0.000040.002885 0.00000
3.52628 0.000040.002802 0.00000
3.54618 0.000040.002722 0.00000
3.56608 0.000030.002645 0.00000
3.58598 0.000030.002569 0.00000
3.60588 0.000030.002497 0.00000
3.62578 0.000030.002427 0.00000
3.64568 0.000030.002358 0.00000
3.66558 0.000030.002293 0.00000
3.68548 0.000030.002229 0.00000
3.70538 0.000030.002167 0.00000
3.72528 0.000030.002107 0.00000
3.74518 0.000030.002049 0.00000
3.76508 0.000030.001993 0.00000
3.78498 0.000030.001939 0.00000
3.80488 0.000030.001886 0.00000
3.82478 0.000030.001835 0.00000
3.84468 0.000030.001785 0.00000
3.86458 0.000030.001737 0.00000
3.88448 0.000030.001691 0.00000
3.90438 0.000020.001646 0.00000
3.92428 0.000020.001602 0.00000
3.94418 0.000020.001560 0.00000
3.96408 0.000020.001519 0.00000
3.98398 0.000020.001479 0.00000
4.00388 0.000020.001440 0.00000
4.02378 0.000020.001403 0.00000
4.04368 0.000020.001366 0.00000
